,diff,lwr,upr,p adj
HEG-AEG,-7.451181233,-10.39546536,-4.506897104,4.58E-08
SEG-AEG,-12.07447926,-15.01876339,-9.130195132,3.00E-14
SEG-HEG,-4.623298028,-7.567582156,-1.679013899,0.000828402
